"Ticker","Date","Open","High","Low","Close","Volume","TWAP-Open","TWAP-High","TWAP-Low","TWAP-Close","SMA-50","SMA-200","LWMA-15","LWMA-50"
"FB","2017-02-07","132.24","133.0","131.661","131.84","14412283.0","71.69293","72.51645","70.80817","71.6768","123.0824","122.31595","131.23333","125.87132"
"FB","2017-02-06","130.98","132.06","130.3","132.06","16760692.0","71.64192","72.4655","70.75691","71.62612","122.8624","122.20955","131.03163","125.51925"
"FB","2017-02-03","131.24","132.85","130.76","130.88","24068306.0","71.59189","72.41525","70.7067","71.57516","122.6506","122.11645","130.77142","125.15026"
"FB","2017-02-02","133.22","135.49","130.4","130.84","53338931.0","71.54155","72.36425","70.65603","71.52512","122.4684","122.02415","130.62321","124.82039"
"FB","2017-02-01","132.25","133.49","130.68","133.23","37148565.0","71.48946","72.31093","70.60557","71.47502","122.192","121.9314","130.44042","124.48125"
"FB","2017-01-31","130.17","130.66","129.5157","130.32","19443977.0","71.4381","72.25922","70.55478","71.42282","121.8832","121.8175","129.88488","124.03628"
"FB","2017-01-30","131.58","131.58","129.6","130.98","18747851.0","71.38841","72.20981","70.5049","71.37299","121.6036","121.7141","129.64792","123.69446"
"FB","2017-01-27","132.68","132.95","131.08","132.18","19133226.0","71.33744","72.15954","70.45486","71.32252","121.328","121.6134","129.26538","123.31595"
"FB","2017-01-26","131.63","133.14","131.4401","132.78","19554993.0","71.28546","72.10802","70.40349","71.27094","120.986","121.50505","128.63692","122.87697"
"FB","2017-01-25","130.0","131.74","129.77","131.48","18560468.0","71.23427","72.05626","70.35172","71.21877","120.7108","121.3942","127.81604","122.40367"
"FB","2017-01-24","129.38","129.9","128.38","129.37","14980442.0","71.18439","72.00559","70.30128","71.16762","120.4972","121.28175","127.0355","121.97297"
"FB","2017-01-23","127.31","129.25","126.95","128.93","16016924.0","71.13494","71.9564","70.25193","71.11817","120.3734","121.18805","126.39938","121.62016"
"FB","2017-01-20","128.1","128.48","126.78","127.04","18585904.0","71.08718","71.90768","70.20372","71.06901","120.2792","121.1116","125.71342","121.28092"
"FB","2017-01-19","128.23","128.35","127.45","127.55","12131646.0","71.03865","71.85954","70.15557","71.02137","120.1814","121.04495","125.17938","121.01195"
"FB","2017-01-18","128.41","128.43","126.84","127.92","12889153.0","70.98994","71.81142","70.10677","70.97322","120.0454","120.9683","124.50208","120.71765"
"FB","2017-01-17","128.04","128.34","127.4","127.835","14433608.0","70.94099","71.76315","70.0584","70.92467","119.887","120.89145","123.68979","120.40264"
