"bearish","FB","2017-01-25","130.0","131.74","129.77","131.48","18560468.0","120.7108","121.3942"
"bearish","FB","2017-01-24","129.38","129.9","128.38","129.37","14980442.0","120.4972","121.28175"
"bearish","FB","2017-01-23","127.31","129.25","126.95","128.93","16016924.0","120.3734","121.18805"
"bearish","FB","2017-01-20","128.1","128.48","126.78","127.04","18585904.0","120.2792","121.1116"
"bearish","FB","2017-01-19","128.23","128.35","127.45","127.55","12131646.0","120.1814","121.04495"
"bearish","FB","2017-01-18","128.41","128.43","126.84","127.92","12889153.0","120.0454","120.9683"
"bearish","FB","2017-01-17","128.04","128.34","127.4","127.835","14433608.0","119.887","120.89145"
"bearish","FB","2017-01-13","127.49","129.27","127.37","128.34","24651548.0","119.8737","120.83258"
"bearish","FB","2017-01-12","125.61","126.73","124.8","126.62","18454802.0","119.8969","120.76138"
"bearish","FB","2017-01-11","124.35","126.12","124.06","126.09","18187579.0","119.9843","120.70178"
"bearish","FB","2017-01-10","124.82","125.5","124.28","124.35","17078191.0","120.0883","120.65203"
"bearish","FB","2017-01-09","123.55","125.43","123.04","124.9","22812280.0","120.1951","120.59873"
"bearish","FB","2017-01-06","120.98","123.88","120.03","123.41","28366116.0","120.3179","120.53947"
"bullish","FB","2016-12-13","117.86","121.52","117.61","120.31","29483831.0","23381073.58","123.7885","119.82488"
"bullish","FB","2016-12-01","118.38","118.45","114.0","115.1","43083095.0","22585889.22","125.462","119.38525"
"bullish","FB","2016-11-30","120.32","121.79","117.95","118.51","29800559.0","22005594.04","125.7588","119.3271"
"bullish","FB","2016-11-22","122.4","122.98","120.9","121.47","26089163.0","21809566.38","126.5882","118.8807"
"bullish","FB","2016-11-21","118.39","121.95","117.8","121.77","35415366.0","21648106.16","126.703","118.77105"
"bullish","FB","2016-11-16","117.2","117.88","114.21","116.34","32397947.0","21390857.98","127.2926","118.5597"
"bullish","FB","2016-11-15","116.73","118.49","115.83","117.2","34681369.0","21302714.96","127.5868","118.54145"
"bullish","FB","2016-11-14","119.1256","119.1256","113.5535","115.08","51377040.0","21134655.72","127.8374","118.5285"
"bullish","FB","2016-11-11","120.44","120.7","118.15","119.02","32840137.0","20349490.38","128.066","118.52855"
"bullish","FB","2016-11-10","123.93","124.18","115.27","120.8","67846704.0","19963410.14","128.209","118.4945"
"bullish","FB","2016-11-09","121.5","123.81","120.51","123.18","31916020.0","18890488.78","128.3154","118.43605"
"bullish","FB","2016-11-07","122.83","123.2089","121.35","122.15","22500660.0","18537556.74","128.415","118.158"
"bullish","FB","2016-11-04","119.59","121.93","119.25","120.75","30545466.0","18437640.04","128.4712","118.0323"
"bullish","FB","2016-11-03","122.0","123.28","119.5","120.0","63766259.0","18041346.94","128.534","117.91825"
"bullish","FB","2016-11-02","130.23","130.23","126.28","127.17","50190225.0","17010896.14","128.6036","117.78905"
"bullish","FB","2016-11-01","131.41","131.94","128.65","129.5","22077779.0","16273280.68","128.5476","117.62495"
"bullish","FB","2016-10-28","130.5","132.97","129.93","131.29","24545547.0","16039837.98","128.292","117.27365"
"bullish","FB","2016-10-24","132.72","133.405","132.15","133.28","17470227.0","15879919.52","127.7154","116.60555"
"bullish","FB","2016-10-21","129.78","132.13","129.7","132.07","19088794.0","15773694.08","127.5474","116.4258"
"bullish","FB","2016-09-23","127.56","128.6","127.3","127.96","28326266.0","19693249.28","125.1096","113.98245"
"bullish","FB","2016-09-16","128.2","129.18","128.2","129.07","24119174.0","19650924.36","123.9464","113.39975"
"bullish","FB","2016-09-09","129.71","129.949","127.1","127.1","27100679.0","19633469.54","122.625","112.8341"
"bullish","FB","2016-09-07","130.04","131.98","129.95","131.05","27990796.0","19733566.36","122.0148","112.6186"
"bullish","FB","2016-09-06","126.67","129.94","126.47","129.73","26278407.0","19901942.56","121.5732","112.49465"
"bullish","FB","2016-08-02","124.06","124.8","122.07","123.09","23968414.0","21728436.08","117.522","109.94817"
"bullish","FB","2016-08-01","123.85","124.58","122.86","124.31","25006850.0","21627964.42","117.4072","109.81252"
"bullish","FB","2016-07-29","124.65","125.84","123.71","123.94","35058803.0","21538709.6","117.2572","109.66132"
"bullish","FB","2016-07-28","127.52","128.33","123.63","125.0","78955758.0","21270379.52","117.1314","109.51222"
"bullish","FB","2016-07-27","122.42","125.0","121.51","123.34","52654239.0","20117837.32","116.9784","109.35852"
"bullish","FB","2016-06-28","110.63","112.75","110.55","112.7","26813842.0","23962588.72","116.1244","106.79732"
"bullish","FB","2016-06-27","111.57","111.57","108.23","108.97","36409606.0","23849655.86","116.0794","106.69407"
"bullish","FB","2016-06-24","111.01","113.68","111.0","112.08","40643130.0","23539919.8","116.0928","106.60912"
"bullish","FB","2016-06-13","115.0","115.48","113.31","113.95","31718239.0","26564957.32","115.6514","105.49862"
"bullish","FB","2016-04-29","116.82","117.84","115.84","117.58","37140594.0","29599505.48","110.6954","101.78057"
"bullish","FB","2016-04-28","119.575","120.79","116.23","116.73","87110080.0","29448563.76","110.4132","101.64147"
"bullish","FB","2016-04-27","107.94","108.94","106.31","108.89","52213107.0","28587829.54","110.1826","101.50622"
"bullish","FB","2016-04-22","111.21","111.75","109.01","110.56","38458201.0","29183471.18","109.7382","101.18712"
"bullish","FB","2016-04-13","112.23","112.65","106.52","110.51","88227393.0","33792788.34","108.9884","100.31982"
"bullish","FB","2016-04-11","110.7","110.91","108.77","108.99","39762304.0","33680724.34","109.112","100.09417"
"bullish","FB","2016-04-08","114.25","114.33","109.9","110.63","48497808.0","35034984.8","109.1144","99.99352"
"bullish","FB","2016-04-04","114.07","114.55","111.61","112.55","48487913.0","35746274.62","107.8452","99.4327"
"bullish","FB","2016-02-17","101.94","105.72","100.4","105.2","44073369.0","35801663.4","102.9862","94.6875"
"bullish","FB","2016-02-16","103.8","103.93","100.24","101.61","45687224.0","35384925.72","102.9698","94.55645"
