Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,TWAP-Open,TWAP-High,TWAP-Low,TWAP-Close,SMA-50,SMA-200,LWMA-15,LWMA-50
2017-01-25,130,131.74,129.77,131.48,18560468,0,1,130,131.74,129.77,131.48,18560468,71.23427,72.05626,70.35172,71.21877,120.71080,121.39420,127.81604,122.40367
2017-01-24,129.38,129.9,128.38,129.37,14980442,0,1,129.38,129.9,128.38,129.37,14980442,71.18439,72.00559,70.30128,71.16762,120.49720,121.28175,127.03550,121.97297
2017-01-23,127.31,129.25,126.95,128.93,16016924,0,1,127.31,129.25,126.95,128.93,16016924,71.13494,71.95640,70.25193,71.11817,120.37340,121.18805,126.39938,121.62016
2017-01-20,128.1,128.48,126.78,127.04,18585904,0,1,128.1,128.48,126.78,127.04,18585904,71.08718,71.90768,70.20372,71.06901,120.27920,121.11160,125.71342,121.28092
2017-01-19,128.23,128.35,127.45,127.55,12131646,0,1,128.23,128.35,127.45,127.55,12131646,71.03865,71.85954,70.15557,71.02137,120.18140,121.04495,125.17938,121.01195
2017-01-18,128.41,128.43,126.84,127.92,12889153,0,1,128.41,128.43,126.84,127.92,12889153,70.98994,71.81142,70.10677,70.97322,120.04540,120.96830,124.50208,120.71765
2017-01-17,128.04,128.34,127.4,127.835,14433608,0,1,128.04,128.34,127.4,127.835,14433608,70.94099,71.76315,70.05840,70.92467,119.88700,120.89145,123.68979,120.40264
2017-01-13,127.49,129.27,127.37,128.34,24651548,0,1,127.49,129.27,127.37,128.34,24651548,70.89227,71.71488,70.00947,70.87612,119.87370,120.83258,122.80117,120.09043
2017-01-12,125.61,126.73,124.8,126.62,18454802,0,1,125.61,126.73,124.8,126.62,18454802,70.84394,71.66573,69.96049,70.82704,119.89690,120.76138,121.77192,119.75933
2017-01-11,124.35,126.12,124.06,126.09,18187579,0,1,124.35,126.12,124.06,126.09,18187579,70.79713,71.61866,69.91362,70.77936,119.98430,120.70178,120.89475,119.49910
2017-01-10,124.82,125.5,124.28,124.35,17078191,0,1,124.82,125.5,124.28,124.35,17078191,70.75132,71.57204,69.86730,70.73204,120.08830,120.65203,120.02675,119.26374
2017-01-09,123.55,125.43,123.04,124.9,22812280,0,1,123.55,125.43,123.04,124.9,22812280,70.70502,71.52587,69.82071,70.68614,120.19510,120.59873,119.33892,119.10080
2017-01-06,120.98,123.88,120.03,123.41,28366116,0,1,120.98,123.88,120.03,123.41,28366116,70.65974,71.47968,69.77511,70.63968,120.31790,120.53948,118.54625,118.92111
2017-01-05,118.86,120.95,118.3209,120.67,19361354,0,1,118.86,120.95,118.3209,120.67,19361354,70.61659,71.43474,69.73201,70.59442,120.49550,120.48513,117.91317,118.80682
2017-01-04,117.55,119.66,117.29,118.69,19338497,0,1,117.55,119.66,117.29,118.69,19338497,70.57518,71.39224,69.69030,70.55144,120.74770,120.44303,117.61958,118.80987
2017-01-03,116.03,117.84,115.51,116.82,20502867,0,1,116.03,117.84,115.51,116.82,20502867,70.53482,71.35077,69.64941,70.51008,121.01530,120.40883,117.56542,118.90105
2016-12-30,116.595,116.83,114.7739,115.05,18357768,0,1,116.595,116.83,114.7739,115.05,18357768,70.49570,71.31080,69.60998,70.47026,121.27890,120.38198,117.76883,119.07591
2016-12-29,117,117.531,116.06,116.35,9852366,0,1,117,117.531,116.06,116.35,9852366,70.45603,71.27162,69.57111,70.43190,121.58010,120.36183,118.22567,119.33200
2016-12-28,118.19,118.25,116.65,116.92,11965852,0,1,118.19,118.25,116.65,116.92,11965852,70.41594,71.23178,69.53107,70.39235,121.82450,120.34098,118.53333,119.54668
2016-12-27,116.96,118.68,116.864,118.01,11989121,0,1,116.96,118.68,116.864,118.01,11989121,70.37475,71.19125,69.49045,70.35224,122.03690,120.30973,118.77300,119.74735
2016-12-23,117,117.56,116.3,117.27,10848436,0,1,117,117.56,116.3,117.27,10848436,70.33456,71.15027,69.44957,70.31112,122.23430,120.26913,118.87171,119.91300
2016-12-22,118.86,118.99,116.93,117.4,16117302,0,1,118.86,118.99,116.93,117.4,16117302,70.29426,71.11019,69.40912,70.27057,122.44530,120.22983,119.04733,120.11596
2016-12-21,118.92,119.2,118.48,119.04,10670169,0,1,118.92,119.2,118.48,119.04,10670169,70.25229,71.06881,69.36804,70.22983,122.67830,120.17943,119.18754,120.32295
2016-12-20,119.5,119.77,118.8,119.07,13481987,0,1,119.5,119.77,118.8,119.07,13481987,70.21019,71.02718,69.32556,70.18761,122.87510,120.12178,119.11833,120.47335
2016-12-19,119.85,120.36,118.51,119.24,15835112,0,1,119.85,120.36,118.51,119.24,15835112,70.16751,70.98497,69.28272,70.14529,123.09850,120.05608,119.06038,120.63133
2016-12-16,120.9,121.5,119.27,119.87,24348122,0,1,120.9,121.5,119.27,119.87,24348122,70.12446,70.94219,69.24007,70.10275,123.29350,119.98853,118.99092,120.79029
2016-12-15,120.08,122.5,119.63,120.57,19843328,0,1,120.08,122.5,119.63,120.57,19843328,70.08042,70.89834,69.19667,70.05958,123.47090,119.93113,118.84696,120.93150
2016-12-14,120,121.69,118.85,120.21,25523931,0,1,120,121.69,118.85,120.21,25523931,70.03702,70.85355,69.15290,70.01574,123.62890,119.87618,118.61775,121.05145
2016-12-13,117.86,121.52,117.61,120.31,29483831,0,1,117.86,121.52,117.61,120.31,29483831,69.99361,70.80938,69.10972,69.97213,123.78850,119.82488,118.44404,121.19179
2016-12-12,119.22,119.24,117.65,117.72,17722841,0,1,119.22,119.24,117.65,117.72,17722841,69.95199,70.76528,69.06754,69.92835,123.95770,119.77243,118.27000,121.33484
2016-12-09,119.22,119.94,118.95,119.68,17414270,0,1,119.22,119.94,118.95,119.68,17414270,69.90911,70.72309,69.02526,69.88676,124.16870,119.71843,118.41388,121.58773
2016-12-08,117.98,119.5,117.64,118.91,22380781,0,1,117.98,119.5,117.64,118.91,22380781,69.86615,70.68022,68.98177,69.84339,124.33690,119.65963,118.29700,121.77035
2016-12-07,117,117.95,116.57,117.95,21713085,0,1,117,117.95,116.57,117.95,21713085,69.82421,70.63766,68.93935,69.80061,124.54330,119.60543,118.25496,121.99126
